DEBUG:2022-03-22 21:31:35,817:A debug message
INFO:2022-03-22 21:31:35,818:For info
WARNING:2022-03-22 21:31:35,818:WARNING
ERROR:2022-03-22 21:31:35,818:Errors
DEBUG:2022-03-22 21:34:06,203:A debug message
INFO:2022-03-22 21:34:06,203:For info
WARNING:2022-03-22 21:34:06,203:WARNING
ERROR:2022-03-22 21:34:06,203:Errors
INFO:2022-03-22 21:42:36,868:started
INFO:2022-03-22 21:42:36,868:ended
INFO:2022-03-22 21:45:49,215:ended
INFO:2022-03-22 21:46:56,735:calculate started
INFO:2022-03-22 21:46:56,735:calculate ended
INFO:2022-03-22 21:47:40,185:calculate started
INFO:2022-03-22 21:47:40,189:calculate ended
